business_id,google_place_id
674f107c-7e23-478f-8938-71762186b70f,ChIJN5Qw94hU30cR81lwo6ivGKM
68d6d86f-4f2e-4057-acfa-10e2c4d2fc89,ChIJkY9k7QpN30cRM-pft9-hpvI
6ba21d25-04ca-400c-8cad-7ef5c7830aed,ChIJS9UgrBql2EcRUwltCDefmlE
6c933001-2251-4849-b085-ca449476bee7,ChIJP-_T1vkIdkgR-vYUVz_1CWU
6dc5dd78-29bf-4850-90a5-b3657ed9c1d7,ChIJBR_cY7IUdkgRrlsH6mTlJ60
6fd96600-ea62-4855-846e-254e635055c8,ChIJh2lZFPEAdkgRPOjs_l3QRvA
71401da5-2a73-4091-b5dd-0dae6f166f29,ChIJWzeRoM4RdkgRKFqDQLpKilg
72a4f460-6664-4648-b6ff-87c71c9b7c48,ChIJSzWBC4Kx2EcRQlnLuLdL84s
73e19f08-43f1-4f2b-9397-78f88395bb1f,ChIJA3m0gUkNdkgRKhxjkXsjHjY
742ce941-cf14-4eb8-9f65-d7107175f53f,ChIJizjbEtAFdkgRIe1OxUfjWmo
76b2202d-c878-4603-a2eb-4635d393e3da,ChIJd6JNjVsZdkgRIC81sRfFZB8
77273499-6d36-4db7-acea-d5e8fbb86978,ChIJdwG_09yv2EcRK3ElplX4V20
783ec54d-ed22-45e7-94c5-24225d97852b,ChIJCbaMACEPdkgRKSPbTXKlIaE
78f320b3-decd-4972-9dbd-303fe3422cbe,ChIJgTloUyOp2EcRHyql4cMt1QA
7937ae0e-f8e1-422e-a761-8b44a1fdb26d,ChIJoZBAoyITdkgR_qFmFEk4fVk
7a8ceedd-246c-4f89-a54d-cd7563a6a9c8,ChIJN0lvnavidUgRwUQgmurZhug
7ada5d58-e07f-4239-ae90-52d6254641a7,ChIJq-Lu1fb_dUgR67YYtFbM8ek
7ae97965-610c-4469-b193-acc5098f7654,ChIJ82TPOr4FdkgRaz0ZuDwHwFg
7b7da810-cc0b-4e09-a1e0-379e9139fceb,ChIJK894PcOn2EcROBxuz1EWUDo
7c678c87-068e-4b96-8cab-99698cc28601,ChIJE7YTtxir2EcRfQTVIXUE2gw
